state,date,formatted_date,total
AK,20200325,2020-03-25,42
AL,20200325,2020-03-25,283
AR,20200325,2020-03-25,280
AS,20200325,2020-03-25,0
AZ,20200325,2020-03-25,450
CA,20200325,2020-03-25,2102
CO,20200325,2020-03-25,912
CT,20200325,2020-03-25,875
DC,20200325,2020-03-25,183
DE,20200325,2020-03-25,115
FL,20200325,2020-03-25,1682
GA,20200325,2020-03-25,1247
GU,20200325,2020-03-25,37
HI,20200325,2020-03-25,90
IA,20200325,2020-03-25,145
ID,20200325,2020-03-25,73
IL,20200325,2020-03-25,1865
IN,20200325,2020-03-25,477
KS,20200325,2020-03-25,126
KY,20200325,2020-03-25,157
LA,20200325,2020-03-25,1795
MA,20200325,2020-03-25,1838
MD,20200325,2020-03-25,423
ME,20200325,2020-03-25,149
MI,20200325,2020-03-25,2294
MN,20200325,2020-03-25,287
MO,20200325,2020-03-25,356
MP,20200325,2020-03-25,0
MS,20200325,2020-03-25,377
MT,20200325,2020-03-25,53
NC,20200325,2020-03-25,504
ND,20200325,2020-03-25,39
NE,20200325,2020-03-25,61
NH,20200325,2020-03-25,108
NJ,20200325,2020-03-25,4402
NM,20200325,2020-03-25,100
NV,20200325,2020-03-25,321
NY,20200325,2020-03-25,30811
OH,20200325,2020-03-25,704
OK,20200325,2020-03-25,164
OR,20200325,2020-03-25,209
PA,20200325,2020-03-25,1127
PR,20200325,2020-03-25,51
RI,20200325,2020-03-25,124
SC,20200325,2020-03-25,424
SD,20200325,2020-03-25,41
TN,20200325,2020-03-25,784
TX,20200325,2020-03-25,974
UT,20200325,2020-03-25,346
VA,20200325,2020-03-25,391
VI,20200325,2020-03-25,17
VT,20200325,2020-03-25,123
WA,20200325,2020-03-25,2469
WI,20200325,2020-03-25,585
WV,20200325,2020-03-25,39
WY,20200325,2020-03-25,44
AK,20200324,2020-03-24,36
AL,20200324,2020-03-24,215
AR,20200324,2020-03-24,218
AS,20200324,2020-03-24,0
AZ,20200324,2020-03-24,357
CA,20200324,2020-03-24,2102
CO,20200324,2020-03-24,720
CT,20200324,2020-03-24,618
DC,20200324,2020-03-24,137
DE,20200324,2020-03-24,91
FL,20200324,2020-03-24,1412
GA,20200324,2020-03-24,1026
GU,20200324,2020-03-24,32
HI,20200324,2020-03-24,77
IA,20200324,2020-03-24,124
ID,20200324,2020-03-24,50
IL,20200324,2020-03-24,1551
IN,20200324,2020-03-24,365
KS,20200324,2020-03-24,98
KY,20200324,2020-03-24,124
LA,20200324,2020-03-24,1388
MA,20200324,2020-03-24,1159
MD,20200324,2020-03-24,349
ME,20200324,2020-03-24,125
MI,20200324,2020-03-24,1791
MN,20200324,2020-03-24,262
MO,20200324,2020-03-24,183
MP,20200324,2020-03-24,0
MS,20200324,2020-03-24,320
MT,20200324,2020-03-24,46
NC,20200324,2020-03-24,398
ND,20200324,2020-03-24,34
NE,20200324,2020-03-24,52
NH,20200324,2020-03-24,101
NJ,20200324,2020-03-24,3675
NM,20200324,2020-03-24,83
NV,20200324,2020-03-24,278
NY,20200324,2020-03-24,25665
OH,20200324,2020-03-24,564
OK,20200324,2020-03-24,106
OR,20200324,2020-03-24,209
PA,20200324,2020-03-24,851
PR,20200324,2020-03-24,39
RI,20200324,2020-03-24,106
SC,20200324,2020-03-24,298
SD,20200324,2020-03-24,30
TN,20200324,2020-03-24,667
TX,20200324,2020-03-24,410
UT,20200324,2020-03-24,299
VA,20200324,2020-03-24,290
VI,20200324,2020-03-24,17
VT,20200324,2020-03-24,95
WA,20200324,2020-03-24,2221
WI,20200324,2020-03-24,457
WV,20200324,2020-03-24,20
WY,20200324,2020-03-24,29
AK,20200323,2020-03-23,22
AL,20200323,2020-03-23,167
AR,20200323,2020-03-23,174
AS,20200323,2020-03-23,0
AZ,20200323,2020-03-23,265
CA,20200323,2020-03-23,1733
CO,20200323,2020-03-23,591
CT,20200323,2020-03-23,415
DC,20200323,2020-03-23,116
DE,20200323,2020-03-23,68
FL,20200323,2020-03-23,1171
GA,20200323,2020-03-23,772
GU,20200323,2020-03-23,29
HI,20200323,2020-03-23,56
IA,20200323,2020-03-23,105
ID,20200323,2020-03-23,47
IL,20200323,2020-03-23,1285
IN,20200323,2020-03-23,259
KS,20200323,2020-03-23,82
KY,20200323,2020-03-23,104
LA,20200323,2020-03-23,1172
MA,20200323,2020-03-23,777
MD,20200323,2020-03-23,288
ME,20200323,2020-03-23,107
MI,20200323,2020-03-23,1328
MN,20200323,2020-03-23,235
MO,20200323,2020-03-23,183
MP,20200323,2020-03-23,0
MS,20200323,2020-03-23,249
MT,20200323,2020-03-23,34
NC,20200323,2020-03-23,297
ND,20200323,2020-03-23,30
NE,20200323,2020-03-23,50
NH,20200323,2020-03-23,78
NJ,20200323,2020-03-23,2844
NM,20200323,2020-03-23,65
NV,20200323,2020-03-23,245
NY,20200323,2020-03-23,20875
OH,20200323,2020-03-23,442
OK,20200323,2020-03-23,81
OR,20200323,2020-03-23,191
PA,20200323,2020-03-23,644
PR,20200323,2020-03-23,31
RI,20200323,2020-03-23,106
SC,20200323,2020-03-23,299
SD,20200323,2020-03-23,28
TN,20200323,2020-03-23,615
TX,20200323,2020-03-23,352
UT,20200323,2020-03-23,257
VA,20200323,2020-03-23,254
VI,20200323,2020-03-23,17
VT,20200323,2020-03-23,75
WA,20200323,2020-03-23,1996
WI,20200323,2020-03-23,416
WV,20200323,2020-03-23,16
WY,20200323,2020-03-23,26
AK,20200322,2020-03-22,22
AL,20200322,2020-03-22,138
AR,20200322,2020-03-22,165
AS,20200322,2020-03-22,0
AZ,20200322,2020-03-22,152
CA,20200322,2020-03-22,1536
CO,20200322,2020-03-22,475
CT,20200322,2020-03-22,223
DC,20200322,2020-03-22,98
DE,20200322,2020-03-22,56
FL,20200322,2020-03-22,830
GA,20200322,2020-03-22,600
GU,20200322,2020-03-22,27
HI,20200322,2020-03-22,48
IA,20200322,2020-03-22,90
ID,20200322,2020-03-22,42
IL,20200322,2020-03-22,1058
IN,20200322,2020-03-22,201
KS,20200322,2020-03-22,64
KY,20200322,2020-03-22,99
LA,20200322,2020-03-22,837
MA,20200322,2020-03-22,646
MD,20200322,2020-03-22,244
ME,20200322,2020-03-22,89
MI,20200322,2020-03-22,1035
MN,20200322,2020-03-22,169
MO,20200322,2020-03-22,90
MP,20200322,2020-03-22,0
