state,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07
AK,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,12.0,14.0,22.0,22.0,36.0,42.0,59.0,69.0,85.0,102.0,114.0,119.0,133.0,143.0,157.0,171.0,185.0,191.0,213.0
AL,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,12.0,28.0,36.0,46.0,68.0,81.0,124.0,138.0,167.0,215.0,283.0,506.0,587.0,696.0,806.0,859.0,981.0,1077.0,1233.0,1432.0,1580.0,1796.0,1968.0,2119.0
AR,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,12.0,16.0,22.0,22.0,33.0,46.0,96.0,118.0,165.0,174.0,218.0,280.0,335.0,381.0,404.0,426.0,473.0,523.0,584.0,643.0,704.0,743.0,830.0,875.0,946.0
AS,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,2.0,2.0,3.0,5.0,5.0,5.0,6.0,9.0,9.0,9.0,12.0,12.0,18.0,20.0,28.0,44.0,65.0,104.0,152.0,265.0,357.0,450.0,577.0,736.0,873.0,919.0,1157.0,1289.0,1413.0,1598.0,1769.0,2019.0,2269.0,2456.0,2575.0
CA,53.0,53.0,60.0,69.0,88.0,114.0,133.0,157.0,202.0,202.0,252.0,293.0,335.0,483.0,611.0,924.0,1063.0,1279.0,1536.0,1733.0,2102.0,2355.0,3006.0,3879.0,4643.0,5708.0,6447.0,7482.0,8155.0,9191.0,10701.0,12026.0,13438.0,14336.0,15865.0
CO,,0.0,2.0,8.0,8.0,9.0,12.0,28.0,45.0,72.0,101.0,131.0,131.0,160.0,183.0,216.0,277.0,363.0,475.0,591.0,720.0,912.0,1086.0,1430.0,1734.0,2061.0,2627.0,2627.0,2966.0,3342.0,3728.0,4173.0,4565.0,4950.0,5172.0
CT,,,,0.0,1.0,1.0,2.0,3.0,6.0,6.0,11.0,20.0,26.0,41.0,68.0,96.0,194.0,194.0,223.0,415.0,618.0,875.0,1012.0,1291.0,1291.0,1993.0,2571.0,3128.0,3557.0,3824.0,4914.0,5276.0,5675.0,6906.0,7781.0
DC,,0.0,0.0,0.0,1.0,1.0,5.0,5.0,10.0,10.0,10.0,16.0,17.0,22.0,31.0,39.0,71.0,77.0,98.0,116.0,137.0,183.0,231.0,267.0,304.0,342.0,401.0,495.0,586.0,653.0,757.0,902.0,998.0,1097.0,1211.0
DE,,,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,6.0,6.0,8.0,16.0,25.0,30.0,38.0,45.0,56.0,68.0,91.0,115.0,130.0,163.0,214.0,232.0,264.0,319.0,368.0,393.0,450.0,593.0,673.0,673.0,928.0
FL,2.0,9.0,9.0,14.0,17.0,18.0,19.0,28.0,32.0,50.0,77.0,116.0,141.0,186.0,314.0,390.0,520.0,658.0,830.0,1171.0,1412.0,1682.0,2355.0,2765.0,3763.0,4246.0,5473.0,6338.0,6955.0,8010.0,9585.0,11111.0,12151.0,13324.0,14747.0
GA,2.0,2.0,2.0,6.0,7.0,12.0,17.0,22.0,31.0,42.0,66.0,99.0,121.0,146.0,197.0,287.0,420.0,507.0,600.0,772.0,1026.0,1247.0,1525.0,2001.0,2366.0,2651.0,2809.0,3929.0,4638.0,5348.0,5831.0,6160.0,6647.0,7314.0,8818.0
GU,,,,,,,,,,,,,3.0,5.0,8.0,12.0,14.0,15.0,27.0,29.0,32.0,37.0,45.0,51.0,55.0,56.0,58.0,69.0,77.0,82.0,84.0,93.0,112.0,113.0,121.0
HI,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,10.0,14.0,16.0,26.0,37.0,48.0,56.0,77.0,90.0,95.0,106.0,120.0,151.0,175.0,204.0,208.0,258.0,285.0,319.0,351.0,371.0,387.0
IA,,,0.0,0.0,0.0,3.0,8.0,13.0,14.0,16.0,17.0,18.0,22.0,23.0,29.0,38.0,45.0,68.0,90.0,105.0,124.0,145.0,179.0,235.0,298.0,336.0,424.0,497.0,549.0,614.0,699.0,786.0,868.0,946.0,1048.0
ID,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,7.0,9.0,11.0,23.0,31.0,42.0,47.0,50.0,73.0,123.0,189.0,230.0,261.0,310.0,415.0,525.0,669.0,891.0,1013.0,1077.0,1101.0,1170.0
IL,4.0,5.0,5.0,6.0,6.0,7.0,19.0,19.0,25.0,32.0,46.0,64.0,93.0,159.0,288.0,422.0,585.0,753.0,1049.0,1273.0,1535.0,1865.0,2538.0,3026.0,3491.0,4596.0,5057.0,5994.0,6980.0,7695.0,8904.0,10357.0,11256.0,12262.0,13549.0
IN,,,1.0,1.0,2.0,2.0,6.0,10.0,12.0,12.0,15.0,19.0,24.0,30.0,39.0,56.0,79.0,126.0,201.0,259.0,365.0,477.0,645.0,981.0,1232.0,1514.0,1786.0,2159.0,2565.0,3039.0,3437.0,3953.0,4411.0,4944.0,5507.0
KS,,,0.0,0.0,1.0,1.0,1.0,1.0,4.0,6.0,6.0,8.0,11.0,15.0,16.0,34.0,44.0,55.0,64.0,82.0,98.0,126.0,168.0,202.0,261.0,319.0,368.0,428.0,482.0,552.0,620.0,698.0,747.0,845.0,900.0
KY,,,0.0,1.0,1.0,4.0,6.0,8.0,8.0,11.0,14.0,16.0,21.0,22.0,26.0,35.0,47.0,54.0,99.0,104.0,124.0,157.0,198.0,248.0,302.0,394.0,439.0,480.0,591.0,680.0,770.0,831.0,917.0,955.0,1008.0
LA,,,,0.0,0.0,1.0,1.0,6.0,14.0,36.0,69.0,91.0,114.0,171.0,240.0,347.0,479.0,585.0,837.0,1172.0,1388.0,1795.0,2305.0,2746.0,3315.0,3540.0,4025.0,5237.0,6424.0,9150.0,10297.0,12496.0,13010.0,14867.0,16284.0
MA,2.0,2.0,8.0,13.0,13.0,41.0,92.0,92.0,95.0,123.0,138.0,138.0,164.0,218.0,256.0,328.0,413.0,525.0,646.0,777.0,1159.0,1838.0,2417.0,3240.0,4257.0,4955.0,5752.0,6620.0,7738.0,8966.0,10402.0,11736.0,12500.0,13837.0,15202.0
MD,,0.0,3.0,3.0,3.0,5.0,6.0,9.0,12.0,17.0,26.0,31.0,37.0,57.0,85.0,107.0,149.0,190.0,244.0,288.0,349.0,423.0,580.0,774.0,992.0,1239.0,1413.0,1660.0,1985.0,2331.0,2758.0,3125.0,3609.0,4045.0,4371.0
ME,,,,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,17.0,32.0,43.0,53.0,57.0,73.0,89.0,107.0,125.0,149.0,155.0,168.0,211.0,253.0,275.0,303.0,344.0,376.0,432.0,456.0,470.0,499.0,519.0
MI,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,16.0,25.0,33.0,53.0,65.0,80.0,336.0,549.0,787.0,1035.0,1328.0,1791.0,2294.0,2856.0,3657.0,3657.0,5486.0,6498.0,7615.0,9334.0,10791.0,12744.0,14225.0,15718.0,17221.0,18970.0
MN,,,0.0,1.0,1.0,2.0,3.0,5.0,9.0,14.0,21.0,35.0,54.0,60.0,77.0,89.0,115.0,138.0,169.0,235.0,262.0,287.0,346.0,398.0,441.0,503.0,576.0,629.0,689.0,742.0,789.0,865.0,935.0,986.0,1069.0
MO,,,,0.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,6.0,8.0,13.0,24.0,47.0,73.0,90.0,183.0,183.0,356.0,502.0,669.0,838.0,838.0,1031.0,1327.0,1581.0,1834.0,2113.0,2291.0,2367.0,2722.0,3037.0
MP,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0
MS,,,,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,10.0,12.0,21.0,34.0,50.0,80.0,140.0,207.0,249.0,320.0,377.0,485.0,579.0,663.0,758.0,847.0,937.0,1073.0,1177.0,1358.0,1455.0,1638.0,1738.0,1915.0
MT,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,7.0,7.0,8.0,10.0,12.0,16.0,20.0,31.0,34.0,46.0,53.0,71.0,108.0,129.0,154.0,171.0,184.0,208.0,227.0,243.0,265.0,286.0,299.0,319.0
