state,date,formatted_date,total
AK,20200325,2020-03-25,1691
AL,20200325,2020-03-25,2812
AR,20200325,2020-03-25,1717
AS,20200325,2020-03-25,0
AZ,20200325,2020-03-25,826
CA,20200325,2020-03-25,27654
CO,20200325,2020-03-25,7701
CT,20200325,2020-03-25,5898
DC,20200325,2020-03-25,1609
DE,20200325,2020-03-25,151
FL,20200325,2020-03-25,18289
GA,20200325,2020-03-25,6179
GU,20200325,2020-03-25,270
HI,20200325,2020-03-25,4447
IA,20200325,2020-03-25,2723
ID,20200325,2020-03-25,1960
IL,20200325,2020-03-25,14209
IN,20200325,2020-03-25,3356
KS,20200325,2020-03-25,2486
KY,20200325,2020-03-25,3022
LA,20200325,2020-03-25,11451
MA,20200325,2020-03-25,19794
MD,20200325,2020-03-25,517
ME,20200325,2020-03-25,3326
MI,20200325,2020-03-25,4363
MN,20200325,2020-03-25,11475
MO,20200325,2020-03-25,725
MP,20200325,2020-03-25,0
MS,20200325,2020-03-25,1943
MT,20200325,2020-03-25,2001
NC,20200325,2020-03-25,10489
ND,20200325,2020-03-25,1773
NE,20200325,2020-03-25,1365
NH,20200325,2020-03-25,3268
NJ,20200325,2020-03-25,14854
NM,20200325,2020-03-25,6842
NV,20200325,2020-03-25,4572
NY,20200325,2020-03-25,103479
OH,20200325,2020-03-25,14764
OK,20200325,2020-03-25,969
OR,20200325,2020-03-25,4559
PA,20200325,2020-03-25,12320
PR,20200325,2020-03-25,438
RI,20200325,2020-03-25,1463
SC,20200325,2020-03-25,2727
SD,20200325,2020-03-25,1128
TN,20200325,2020-03-25,11796
TX,20200325,2020-03-25,13494
UT,20200325,2020-03-25,6837
VA,20200325,2020-03-25,5370
VI,20200325,2020-03-25,74
VT,20200325,2020-03-25,1712
WA,20200325,2020-03-25,34181
WI,20200325,2020-03-25,10674
WV,20200325,2020-03-25,804
WY,20200325,2020-03-25,998
AK,20200324,2020-03-24,1022
AL,20200324,2020-03-24,2321
AR,20200324,2020-03-24,1165
AS,20200324,2020-03-24,0
AZ,20200324,2020-03-24,692
CA,20200324,2020-03-24,27654
