date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,2.0,0.0,9.0,6.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,43.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,29.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,0.0,2.0,28.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,37.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,1.0,0.0,19.0,3.0,1.0,0.0,4.0,1.0,5.0,0.0,0.0,12.0,4.0,5.0,0.0,2.0,0.0,0.0,1.0,51.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,31.0,5.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,5.0,26.0,0.0,1.0,0.0
2020-03-11,0.0,0.0,3.0,0.0,24.0,16.0,1.0,1.0,0.0,9.0,5.0,0.0,0.0,0.0,4.0,5.0,0.0,2.0,5.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,5.0,0.0,9.0,3.0,43.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,2.0,5.0,0.0,8.0,0.0,0.0,1.0,105.0,0.0,1.0,0.0
2020-03-12,0.0,0.0,0.0,6.0,45.0,17.0,3.0,3.0,5.0,4.0,9.0,0.0,0.0,6.0,2.0,1.0,3.0,0.0,8.0,1.0,3.0,3.0,0.0,4.0,1.0,0.0,1.0,5.0,2.0,2.0,6.0,2.0,0.0,5.0,1.0,1.0,1.0,0.0,7.0,0.0,1.0,3.0,11.0,2.0,2.0,1.0,8.0,70.0,0.0,5.0,1.0
2020-03-13,1.0,1.0,0.0,3.0,0.0,27.0,0.0,0.0,0.0,18.0,11.0,0.0,0.0,7.0,0.0,2.0,2.0,3.0,22.0,2.0,5.0,28.0,14.0,5.0,3.0,1.0,0.0,3.0,4.0,0.0,20.0,5.0,205.0,3.0,0.0,8.0,0.0,11.0,11.0,9.0,2.0,1.0,8.0,16.0,2.0,0.0,13.0,120.0,0.0,11.0,0.0
2020-03-14,5.0,0.0,3.0,3.0,50.0,29.0,5.0,2.0,0.0,27.0,24.0,0.0,2.0,14.0,3.0,1.0,0.0,3.0,33.0,0.0,9.0,15.0,9.0,7.0,2.0,2.0,4.0,1.0,9.0,1.0,0.0,0.0,103.0,8.0,0.0,0.0,1.0,0.0,14.0,6.0,1.0,0.0,6.0,12.0,0.0,2.0,0.0,111.0,0.0,0.0,1.0
2020-03-15,6.0,0.0,0.0,4.0,41.0,30.0,9.0,0.0,6.0,39.0,33.0,0.0,3.0,18.0,4.0,1.0,2.0,2.0,22.0,0.0,5.0,0.0,8.0,14.0,4.0,1.0,2.0,3.0,1.0,6.0,48.0,3.0,205.0,9.0,0.0,23.0,5.0,6.0,16.0,0.0,6.0,0.0,7.0,5.0,22.0,0.0,15.0,74.0,0.0,14.0,1.0
2020-03-16,16.0,0.0,6.0,6.0,42.0,0.0,6.0,2.0,1.0,25.0,22.0,5.0,0.0,29.0,5.0,4.0,3.0,5.0,23.0,14.0,6.0,26.0,20.0,19.0,2.0,1.0,0.0,1.0,24.0,0.0,80.0,4.0,221.0,1.0,0.0,14.0,1.0,3.0,13.0,1.0,9.0,1.0,13.0,1.0,11.0,4.0,6.0,127.0,0.0,14.0,0.0
2020-03-17,8.0,2.0,2.0,0.0,148.0,29.0,15.0,8.0,5.0,45.0,25.0,3.0,2.0,66.0,6.0,1.0,4.0,1.0,57.0,15.0,20.0,54.0,12.0,6.0,9.0,2.0,1.0,3.0,10.0,4.0,89.0,6.0,750.0,7.0,2.0,17.0,7.0,8.0,20.0,0.0,5.0,1.0,21.0,7.0,12.0,2.0,16.0,135.0,0.0,25.0,7.0
2020-03-18,10.0,3.0,8.0,11.0,128.0,23.0,27.0,9.0,9.0,128.0,51.0,4.0,2.0,129.0,9.0,6.0,1.0,4.0,69.0,11.0,28.0,38.0,15.0,17.0,13.0,5.0,2.0,3.0,0.0,9.0,160.0,5.0,682.0,23.0,3.0,21.0,12.0,28.0,37.0,12.0,27.0,0.0,25.0,19.0,12.0,9.0,10.0,108.0,1.0,34.0,5.0
2020-03-19,22.0,0.0,16.0,13.0,313.0,33.0,28.0,5.0,8.0,76.0,90.0,2.0,2.0,134.0,17.0,9.0,18.0,9.0,107.0,10.0,22.0,72.0,256.0,12.0,16.0,11.0,2.0,3.0,40.0,13.0,315.0,7.0,1770.0,34.0,9.0,31.0,15.0,13.0,52.0,0.0,0.0,0.0,56.0,60.0,15.0,3.0,17.0,175.0,1.0,49.0,3.0
2020-03-20,13.0,6.0,21.0,50.0,139.0,61.0,98.0,8.0,32.0,130.0,133.0,10.0,12.0,163.0,23.0,7.0,10.0,12.0,132.0,4.0,42.0,85.0,213.0,26.0,30.0,23.0,4.0,5.0,14.0,5.0,148.0,8.0,2950.0,40.0,5.0,50.0,5.0,26.0,83.0,21.0,21.0,3.0,74.0,51.0,34.0,7.0,20.0,189.0,5.0,51.0,1.0
2020-03-21,43.0,2.0,39.0,22.0,216.0,86.0,0.0,7.0,6.0,138.0,87.0,11.0,8.0,168.0,47.0,23.0,11.0,7.0,106.0,16.0,41.0,112.0,238.0,23.0,60.0,26.0,4.0,6.0,15.0,11.0,437.0,14.0,3254.0,47.0,8.0,78.0,4.0,0.0,103.0,12.0,71.0,0.0,143.0,110.0,24.0,0.0,38.0,148.0,4.0,75.0,4.0
