,date,state,state_name,emergency_date,lat,long,confirmed,cured,deceased,pol_party,positive,negative,pending,hospitalized,death,total,TotalPop,Men,Women,hispanic,white,black,native,asian,pacific,Employed,Income,Poverty
0,2020-01-22,AL,Alabama,2020-03-13,32.3182,-86.9023,0.0,0.0,0.0,Republican,0,0,0,0,0,0,4850771,2350806,2499965,198306.0,3198112.0,1281049.0,22595.0,62036.0,1456.0,2055509,53931462.0,23975.39999999999
1,2020-01-23,AL,Alabama,2020-03-13,32.3182,-86.9023,0.0,0.0,0.0,Republican,0,0,0,0,0,0,4850771,2350806,2499965,198306.0,3198112.0,1281049.0,22595.0,62036.0,1456.0,2055509,53931462.0,23975.39999999999
2,2020-01-24,AL,Alabama,2020-03-13,32.3182,-86.9023,0.0,0.0,0.0,Republican,0,0,0,0,0,0,4850771,2350806,2499965,198306.0,3198112.0,1281049.0,22595.0,62036.0,1456.0,2055509,53931462.0,23975.39999999999
3,2020-01-25,AL,Alabama,2020-03-13,32.3182,-86.9023,0.0,0.0,0.0,Republican,0,0,0,0,0,0,4850771,2350806,2499965,198306.0,3198112.0,1281049.0,22595.0,62036.0,1456.0,2055509,53931462.0,23975.39999999999
4,2020-01-26,AL,Alabama,2020-03-13,32.3182,-86.9023,0.0,0.0,0.0,Republican,0,0,0,0,0,0,4850771,2350806,2499965,198306.0,3198112.0,1281049.0,22595.0,62036.0,1456.0,2055509,53931462.0,23975.39999999999
5,2020-01-27,AL,Alabama,2020-03-13,32.3182,-86.9023,0.0,0.0,0.0,Republican,0,0,0,0,0,0,4850771,2350806,2499965,198306.0,3198112.0,1281049.0,22595.0,62036.0,1456.0,2055509,53931462.0,23975.39999999999
6,2020-01-28,AL,Alabama,2020-03-13,32.3182,-86.9023,0.0,0.0,0.0,Republican,0,0,0,0,0,0,4850771,2350806,2499965,198306.0,3198112.0,1281049.0,22595.0,62036.0,1456.0,2055509,53931462.0,23975.39999999999
7,2020-01-29,AL,Alabama,2020-03-13,32.3182,-86.9023,0.0,0.0,0.0,Republican,0,0,0,0,0,0,4850771,2350806,2499965,198306.0,3198112.0,1281049.0,22595.0,62036.0,1456.0,2055509,53931462.0,23975.39999999999
8,2020-01-30,AL,Alabama,2020-03-13,32.3182,-86.9023,0.0,0.0,0.0,Republican,0,0,0,0,0,0,4850771,2350806,2499965,198306.0,3198112.0,1281049.0,22595.0,62036.0,1456.0,2055509,53931462.0,23975.39999999999
9,2020-01-31,AL,Alabama,2020-03-13,32.3182,-86.9023,0.0,0.0,0.0,Republican,0,0,0,0,0,0,4850771,2350806,2499965,198306.0,3198112.0,1281049.0,22595.0,62036.0,1456.0,2055509,53931462.0,23975.39999999999
10,2020-02-01,AL,Alabama,2020-03-13,32.3182,-86.9023,0.0,0.0,0.0,Republican,0,0,0,0,0,0,4850771,2350806,2499965,198306.0,3198112.0,1281049.0,22595.0,62036.0,1456.0,2055509,53931462.0,23975.39999999999
11,2020-02-02,AL,Alabama,2020-03-13,32.3182,-86.9023,0.0,0.0,0.0,Republican,0,0,0,0,0,0,4850771,2350806,2499965,198306.0,3198112.0,1281049.0,22595.0,62036.0,1456.0,2055509,53931462.0,23975.39999999999
12,2020-02-03,AL,Alabama,2020-03-13,32.3182,-86.9023,0.0,0.0,0.0,Republican,0,0,0,0,0,0,4850771,2350806,2499965,198306.0,3198112.0,1281049.0,22595.0,62036.0,1456.0,2055509,53931462.0,23975.39999999999
13,2020-02-04,AL,Alabama,2020-03-13,32.3182,-86.9023,0.0,0.0,0.0,Republican,0,0,0,0,0,0,4850771,2350806,2499965,198306.0,3198112.0,1281049.0,22595.0,62036.0,1456.0,2055509,53931462.0,23975.39999999999
14,2020-02-05,AL,Alabama,2020-03-13,32.3182,-86.9023,0.0,0.0,0.0,Republican,0,0,0,0,0,0,4850771,2350806,2499965,198306.0,3198112.0,1281049.0,22595.0,62036.0,1456.0,2055509,53931462.0,23975.39999999999
15,2020-02-06,AL,Alabama,2020-03-13,32.3182,-86.9023,0.0,0.0,0.0,Republican,0,0,0,0,0,0,4850771,2350806,2499965,198306.0,3198112.0,1281049.0,22595.0,62036.0,1456.0,2055509,53931462.0,23975.39999999999
16,2020-02-07,AL,Alabama,2020-03-13,32.3182,-86.9023,0.0,0.0,0.0,Republican,0,0,0,0,0,0,4850771,2350806,2499965,198306.0,3198112.0,1281049.0,22595.0,62036.0,1456.0,2055509,53931462.0,23975.39999999999
17,2020-02-08,AL,Alabama,2020-03-13,32.3182,-86.9023,0.0,0.0,0.0,Republican,0,0,0,0,0,0,4850771,2350806,2499965,198306.0,3198112.0,1281049.0,22595.0,62036.0,1456.0,2055509,53931462.0,23975.39999999999
