,value,trip_class,show_to_aff,return_date,origin,number_of_changes,gate,found_at,duration,distance,destination,depart_date,actual,snapshot_on
0,15.88,0,True,2020-04-19,KUL,0,Trip.com,2020-02-26T01:05:51.507043,120,330,TGG,2020-04-18,True,2020-02-29
1,16.02,0,True,2020-04-24,KUL,0,Trip.com,2020-02-26T03:41:36.506268,140,454,LGK,2020-04-22,True,2020-02-29
2,16.03,0,True,2020-07-24,ZAM,0,Trip.com,2020-02-29T15:29:47.040672,160,396,DVO,2020-07-17,True,2020-02-29
3,16.15,0,True,2020-04-10,ASF,0,Utair,2020-02-26T03:54:38.790741,155,390,VOG,2020-04-07,True,2020-02-29
4,16.15,0,True,2020-03-10,VOG,0,Utair,2020-02-28T09:04:49.420608,175,390,ASF,2020-03-09,True,2020-02-29
5,16.44,0,True,2020-03-24,RIO,1,Biletix,2020-02-26T09:23:48.247428,620,361,BHZ,2020-03-23,True,2020-02-29
6,16.81,0,True,2020-04-27,LSC,0,FlightNetwork,2020-02-26T23:59:18.593404,122,388,SCL,2020-04-24,True,2020-02-29
7,16.85,0,True,2020-04-16,SCL,0,FlightNetwork,2020-02-27T19:45:16.964894,122,388,LSC,2020-04-13,True,2020-02-29
8,17.82,0,True,2020-09-27,BKI,0,Trip.com,2020-02-26T17:25:27.428036,95,222,SDK,2020-09-26,True,2020-02-29
9,18.15,0,True,2020-04-25,TJM,0,Utair,2020-02-28T06:34:35.620085,175,552,OMS,2020-04-20,True,2020-02-29
10,18.15,0,True,2020-04-11,OMS,0,Utair,2020-02-27T15:02:16.194236,175,552,TJM,2020-04-06,True,2020-02-29
11,18.55,0,True,2020-04-06,TGG,0,Trip.com,2020-02-27T16:26:38.158710,125,330,KUL,2020-04-02,True,2020-02-29
12,18.85,0,True,2020-05-04,KUL,0,Trip.com,2020-03-01T00:18:47.154913,125,324,PEN,2020-04-30,True,2020-02-29
13,19.0,0,True,2020-04-29,PEN,0,Trip.com,2020-02-27T18:29:46.636158,80,130,LGK,2020-04-22,True,2020-02-29
14,19.39,0,True,2020-05-05,KUL,0,Trip.com,2020-02-26T17:54:11.448840,105,251,JHB,2020-04-30,True,2020-02-29
15,19.44,0,True,2020-04-23,BER,0,Trip.com,2020-02-29T22:20:17.458109,180,685,BUD,2020-04-21,True,2020-02-29
