,value,trip_class,show_to_aff,return_date,origin,number_of_changes,gate,found_at,duration,distance,destination,depart_date,actual,snapshot_on
0,11.07,0,True,2020-02-24,BER,0,Ryanair,2020-02-17T23:31:12.099461,140,471,BLL,2020-02-21,True,2020-02-18
1,11.09,0,True,2020-03-04,DUB,0,Ryanair,2020-02-17T12:43:47.064177,160,431,LON,2020-03-03,True,2020-02-18
2,11.34,0,True,2020-02-29,STO,0,Ryanair,2020-02-18T12:00:33.080296,150,498,GDN,2020-02-25,True,2020-02-18
3,13.32,0,True,2020-03-10,LON,0,Ryanair,2020-02-18T11:56:34.211644,165,431,DUB,2020-03-10,True,2020-02-18
4,13.35,0,True,2020-03-04,BHX,0,Ryanair,2020-02-15T17:37:25.213859,135,321,DUB,2020-03-03,True,2020-02-18
5,15.1,0,True,2020-03-02,GDN,0,Ryanair,2020-02-18T11:10:20.382406,150,498,STO,2020-02-28,True,2020-02-18
6,16.6,0,True,2020-04-03,BTS,0,Ryanair,2020-02-16T13:47:45.724259,155,647,INI,2020-03-27,True,2020-02-18
7,16.6,0,True,2020-03-02,INI,0,Ryanair,2020-02-17T21:11:46.056662,155,647,BTS,2020-02-28,True,2020-02-18
8,17.01,0,True,2020-03-02,GOT,0,Ryanair,2020-02-14T21:21:34.607994,235,1001,LON,2020-02-28,True,2020-02-18
9,17.09,0,True,2020-02-25,VOG,0,Utair,2020-02-17T18:04:55.963282,175,390,ASF,2020-02-24,True,2020-02-18
10,17.09,0,True,2020-03-09,ASF,0,Utair,2020-02-18T10:46:43.673726,175,390,VOG,2020-03-07,True,2020-02-18
11,17.19,0,True,2020-04-11,WAW,0,Ryanair,2020-02-18T08:40:15.387230,210,988,OSL,2020-04-08,True,2020-02-18
12,17.49,0,True,2020-05-12,SCL,0,Trip.com,2020-02-14T14:45:54.240918,119,388,LSC,2020-05-08,True,2020-02-18
13,17.71,0,True,2020-03-30,PUY,0,Ryanair,2020-02-16T16:29:05.449915,180,752,FRA,2020-03-29,True,2020-02-18
14,17.94,0,True,2020-04-29,STR,0,Ryanair,2020-02-18T12:10:29.348618,150,547,VIE,2020-04-26,True,2020-02-18
15,18.01,0,True,2020-04-28,VIE,0,Ryanair,2020-02-17T12:24:17.546674,150,547,STR,2020-04-24,True,2020-02-18
16,18.5,0,True,2020-05-20,BSB,1,Biletix,2020-02-16T21:05:03.932204,530,928,RIO,2020-05-16,True,2020-02-18
17,19.21,0,True,2020-04-13,TJM,0,Utair,2020-02-18T06:02:52.236165,175,552,OMS,2020-04-11,True,2020-02-18
18,19.21,0,True,2020-04-04,OMS,0,Utair,2020-02-17T11:07:56.636969,175,552,TJM,2020-03-30,True,2020-02-18
19,19.4,0,True,2020-05-09,PEN,0,Trip.com,2020-02-16T09:18:02.682365,125,324,KUL,2020-05-04,True,2020-02-18
20,19.54,0,True,2020-03-10,VIE,0,Kiwi.com,2020-02-18T08:01:32.653173,260,1186,STO,2020-03-06,True,2020-02-18
21,19.71,0,True,2020-03-17,STO,0,Kiwi.com,2020-02-17T12:36:20.145464,255,1186,VIE,2020-03-13,True,2020-02-18
22,19.78,0,True,2020-05-07,KUL,0,Trip.com,2020-02-16T19:23:02.733539,135,385,KBR,2020-04-28,True,2020-02-18
