,value,trip_class,show_to_aff,return_date,origin,number_of_changes,gate,found_at,duration,distance,destination,depart_date,actual,snapshot_on
0,9.81,0,True,2020-02-28,GDN,0,Ryanair,2020-02-20T11:43:28.184257,150,498,STO,2020-02-28,True,2020-02-20
1,9.84,0,True,2020-03-12,WRO,0,Ryanair,2020-02-19T11:03:56.881579,130,379,GDN,2020-03-10,True,2020-02-20
2,11.01,0,True,2020-03-30,INI,0,Ryanair,2020-02-20T09:13:36.265566,155,647,BTS,2020-03-27,True,2020-02-20
3,11.01,0,True,2020-03-02,BER,0,Ryanair,2020-02-20T11:52:06.623416,140,471,BLL,2020-03-01,True,2020-02-20
4,11.02,0,True,2020-03-04,DUB,0,Ryanair,2020-02-17T12:43:47.064177,160,431,LON,2020-03-03,True,2020-02-20
5,11.27,0,True,2020-02-29,STO,0,Ryanair,2020-02-18T12:00:33.080296,150,498,GDN,2020-02-25,True,2020-02-20
6,13.24,0,True,2020-03-04,BHX,0,Ryanair,2020-02-18T13:27:02.979166,135,321,DUB,2020-03-03,True,2020-02-20
7,13.28,0,True,2020-03-10,LON,0,Ryanair,2020-02-20T00:32:16.585373,160,470,DUB,2020-03-10,True,2020-02-20
8,15.91,0,True,2020-06-22,SCL,0,Trip.com,2020-02-18T21:47:15.979701,119,388,LSC,2020-06-20,True,2020-02-20
9,15.91,0,True,2020-03-04,LON,0,Ryanair,2020-02-20T08:34:12.142417,245,976,MIL,2020-02-26,True,2020-02-20
10,15.91,0,True,2020-03-07,LON,0,Ryanair,2020-02-20T09:55:57.565762,210,815,LYS,2020-02-29,True,2020-02-20
11,16.5,0,True,2020-04-03,BTS,0,Ryanair,2020-02-16T13:47:45.724259,155,647,INI,2020-03-27,True,2020-02-20
12,16.6,0,True,2020-03-04,ORK,0,Ryanair,2020-02-19T22:56:42.345702,170,556,LON,2020-02-26,True,2020-02-20
13,16.66,0,True,2020-03-22,RIO,1,Biletix,2020-02-18T17:52:30.731675,730,373,BHZ,2020-03-21,True,2020-02-20
14,16.79,0,True,2020-03-03,GOT,0,Ryanair,2020-02-19T15:45:47.483546,240,1001,LON,2020-02-28,True,2020-02-20
15,16.88,0,True,2020-03-11,CPH,0,Ryanair,2020-02-19T18:26:43.794295,225,950,LON,2020-03-04,True,2020-02-20
16,16.99,0,True,2020-04-06,ASF,0,Utair,2020-02-19T15:00:23.915968,155,390,VOG,2020-04-04,True,2020-02-20
17,16.99,0,True,2020-02-25,VOG,0,Utair,2020-02-19T15:32:51.804833,175,390,ASF,2020-02-24,True,2020-02-20
18,17.05,0,True,2020-03-24,WAW,0,Ryanair,2020-02-20T08:50:11.573359,220,988,OSL,2020-03-20,True,2020-02-20
19,17.52,0,True,2020-06-07,STW,0,Utair,2020-02-20T05:58:26.458037,150,266,AER,2020-05-31,True,2020-02-20
20,17.52,0,True,2020-06-14,AER,0,Utair,2020-02-19T13:51:30.679981,150,266,STW,2020-06-07,True,2020-02-20
21,17.57,0,True,2020-03-10,PAR,0,Ryanair,2020-02-18T17:24:40.171355,240,1112,BTS,2020-03-03,True,2020-02-20
22,17.6,0,True,2020-03-30,PUY,0,Ryanair,2020-02-16T16:29:05.449915,180,752,FRA,2020-03-29,True,2020-02-20
